Site,Square,Spit,Group,Artno,Material,Colour,Weight,Length,Artclas,Cortex,Cortype,Initiat,Breaks,Noseg,Platwid,Plat,Focal,Overhang,NoDS,NoPS,Rtch,Plat_2,Focal_2,Overhang_2,NoDS_2,NoPS_2,Rtch_2,RetOri,Retype,Retloc,Retlen,Retdep,Portion,Heat,EdgeDam,Weathering,Corerot,RetScNo,Term,Janus,Recycled,Redirect,Usewear?,Width,Thick,Platthic,area,elongation,,,,Site,Square,Spit,Group,Artno,Material,Colour,Weight,Length,Artclas,Cortex,Cortype,Initiat,Breaks,Noseg,Platwid,Plat,Focal,Overhang,NoDS,NoPS,Rtch,Plat_2,Focal_2,Overhang_2,NoDS_2,NoPS_2,Rtch_2,RetOri,Retype,Retloc,Retlen,Retdep,Portion,Heat,EdgeDam,Weathering,Corerot,RetScNo,Term,Janus,Recycled,Redirect,Usewear?
J,B,1,1,14,Chert,Dk Brown,0.15,5.83,RetF,0,,Hertz,,2,2.62,Single,,No,5,1,Yes,Single,,No,5,1,Yes,Both,Percus,Dist,3.1,3.14,,,,,,2,Retouched,,,,,6.4,2.3,1.3,37.312,0.9109375,,,,J,B,1,1,14,Chert,Dk Brown,0.15,5.83,RetF,0,,Hertz,,2,2.62,Single,,No,5,1,Yes,Single,,No,5,1,Yes,Both,Percus,Dist,3.1,3.14,,,,,,2,Retouched,,,,
J,B,1,1,15,Volcanic,Grey,1.07,6.36,Flake-b,20,Angul,Hertz,Long,,18.18,Single,,No,1,1,,Single,,No,1,1,,,,,,,Llat,,,,,,Feather,,,,,18.76,6.56,6.6,119.3136,0.33901919,,,,J,B,1,1,15,Volcanic,Grey,1.07,6.36,Flake-b,20,Angul,Hertz,Long,,18.18,Single,,No,1,1,,Single,,No,1,1,,,,,,,Llat,,,,,,Feather,,,,
J,B,1,1,16,Chert,Cream,0.18,8.6,FFrag,,,,Both,,,,,,3,,,,,,3,,,,,,,,Dist,,,,,,Feather,,,,,4.67,2.72,,40.162,1.841541756,,,,J,B,1,1,16,Chert,Cream,0.18,8.6,FFrag,,,,Both,,,,,,3,,,,,,3,,,,,,,,Dist,,,,,,Feather,,,,
J,B,1,1,17,Chert,Red,0.1,9.7,RetF,0,,,,1,,Focal,,,5,,Yes,Focal,,,5,,Yes,V-D,Percus,Llat,3.97,2.02,,,,,,1,Feather,,,,,4.97,2.44,,48.209,1.951710262,,,,J,B,1,1,17,Chert,Red,0.1,9.7,RetF,0,,,,1,,Focal,,,5,,Yes,Focal,,,5,,Yes,V-D,Percus,Llat,3.97,2.02,,,,,,1,Feather,,,,
J,B,1,1,18,Chert,Lt Brown,0.03,3.58,Flake,0,,Hertz,,,,Focal,,Yes,3,,,Focal,,Yes,3,,,,,,,,,,,,,,Feather,,,,,8.37,1.45,,29.9646,0.427718041,,,,J,B,1,1,18,Chert,Lt Brown,0.03,3.58,Flake,0,,Hertz,,,,Focal,,Yes,3,,,Focal,,Yes,3,,,,,,,,,,,,,,Feather,,,,
J,B,1,1,19,Chert,Red,0.02,4.79,Flake,0,,Hertz,Trans,,5.25,Single,,No,5,1,,Single,,No,5,1,,,,,,,Dist,,,,,,Feather,,,,,4.07,1.03,1.28,19.4953,1.176904177,,,,J,B,1,1,19,Chert,Red,0.02,4.79,Flake,0,,Hertz,Trans,,5.25,Single,,No,5,1,,Single,,No,5,1,,,,,,,Dist,,,,,,Feather,,,,
J,B,1,1,20,Chert,Grey,0.01,3.29,Flake,0,,Hertz,,,5.98,Single,,Yes,1,1,,Single,,Yes,1,1,,,,,,,,,,,,,Hinge,,,,,6.29,1.04,1.07,20.6941,0.523052464,,,,J,B,1,1,20,Chert,Grey,0.01,3.29,Flake,0,,Hertz,,,5.98,Single,,Yes,1,1,,Single,,Yes,1,1,,,,,,,,,,,,,Hinge,,,,
J,B,1,1,21,Chert,Brown,0.06,6.02,Flake,0,,Hertz,,,,Focal,,Yes,5,,,Focal,,Yes,5,,,,,,,,,,1,,,,Feather,,,,,6.98,1.44,,42.0196,0.862464183,,,,J,B,1,1,21,Chert,Brown,0.06,6.02,Flake,0,,Hertz,,,,Focal,,Yes,5,,,Focal,,Yes,5,,,,,,,,,,1,,,,Feather,,,,
J,B,1,1,22,Chert,Pink,0.01,3.51,Flake,0,,Hertz,,,5.62,Single,,Yes,2,1,,Single,,Yes,2,1,,,,,,,,,,,,,Feather,,,,,5.68,1.01,1.35,19.9368,0.617957746,,,,J,B,1,1,22,Chert,Pink,0.01,3.51,Flake,0,,Hertz,,,5.62,Single,,Yes,2,1,,Single,,Yes,2,1,,,,,,,,,,,,,Feather,,,,
J,B,1,1,23,Chert,Grey,0.11,5.65,Flake,0,,Hertz,,,,Focal,,Yes,2,,,Focal,,Yes,2,,,,,,,,,,,,,,Hinge,,,,,8.18,1.65,,46.217,0.690709046,,,,J,B,1,1,23,Chert,Grey,0.11,5.65,Flake,0,,Hertz,,,,Focal,,Yes,2,,,Focal,,Yes,2,,,,,,,,,,,,,,Hinge,,,,
J,B,1,1,24,Chert,Pink,0.18,8.89,RetF-b,0,,Hertz,,2,2.16,Mult,,No,4,3,Yes,Mult,,No,4,3,Yes,D-V,Percus,Bothlats,4.8,2.36,,,,,,2,Feather,,,,,6.02,2.25,2.35,53.5178,1.476744186,,,,J,B,1,1,24,Chert,Pink,0.18,8.89,RetF-b,0,,Hertz,,2,2.16,Mult,,No,4,3,Yes,Mult,,No,4,3,Yes,D-V,Percus,Bothlats,4.8,2.36,,,,,,2,Feather,,,,
J,B,1,1,25,Chert,Grey,0.04,5.52,FFrag,0,,,Both,,,,,,2,,,,,,2,,,,,,,,Dist,,,,,,Feather,,,,,4.43,1.02,,24.4536,1.246049661,,,,J,B,1,1,25,Chert,Grey,0.04,5.52,FFrag,0,,,Both,,,,,,2,,,,,,2,,,,,,,,Dist,,,,,,Feather,,,,
J,B,1,1,26,Chert,Grey,0.43,9.95,Flake,0,,Hertz,,,6.84,2-scars,,Yes,6,2,,2-scars,,Yes,6,2,,,,,,,,,,,,,Step,,,,,11.45,2.55,3.11,113.9275,0.868995633,,,,J,B,1,1,26,Chert,Grey,0.43,9.95,Flake,0,,Hertz,,,6.84,2-scars,,Yes,6,2,,2-scars,,Yes,6,2,,,,,,,,,,,,,Step,,,,
J,B,1,1,27,Chert,Cream,0.18,6.96,Flake,0,,Hertz,,,5.86,Single,,No,5,1,,Single,,No,5,1,,,,,,,,,,,,,Feather,,,,,7.25,3.04,3.08,50.46,0.96,,,,J,B,1,1,27,Chert,Cream,0.18,6.96,Flake,0,,Hertz,,,5.86,Single,,No,5,1,,Single,,No,5,1,,,,,,,,,,,,,Feather,,,,
