spit,material,age,error,cal_age_min,cal_age_max,lab_code,depth_bs
3,Charcoal  ,2570,34,2695,2759,Wk-19224 ,0.06
5,Charcoal  ,3245,39,3385,3562,Wk-19225,0.092
6,Turbo ,5341,41,5598,5835,Wk-18154 ,0.115
12,Turbo ,5567,44,5866,6101,Wk-18155 ,0.306
13,Turbo ,5549,62,5762,6115,Wk-17829 ,0.339
21,Turbo ,5909,40,6245,6422,Wk-19226 ,0.525
26,Haliotis cf. varia Turbo ,10110,79,10870,11245,Wk-18156 ,0.639
27,Turbo ,19952,235,22564,23935,Wk-17830 ,0.662
38,Turbo ,13658,91,15455,16761,Wk-19227 ,0.877
46,Trochus ,38255,596,41616,43381,Wk-17831 ,1.119
