Material,Datum,Spit no.,Av. Depth (m),Dumpy ht (m),Depth bs (m),Spit depth (cm)
,0.1893,1,1.043,1.020,0.023,2.3
,,2,1.061,1.020,0.041,1.8
charcoal,,3,1.080,1.020,0.060,1.9
,,4,1.096,1.020,0.076,1.6
,,5,1.112,1.020,0.092,1.6
,,6,1.135,1.020,0.115,2.3
,,7,1.162,1.020,0.142,2.7
,,8,1.189,1.020,0.169,2.7
,,9,1.229,1.020,0.209,4.0
,,10,1.259,1.020,0.239,3.0
,,11,1.293,1.020,0.273,3.4
,,12,1.326,1.020,0.306,3.2
,,13,1.359,1.020,0.339,3.4
,,14,1.378,1.020,0.358,1.9
,,15,1.404,1.020,0.384,2.6
,,16,1.423,1.020,0.403,1.9
,0.195,17,1.456,1.026,0.430,2.7
,,18,1.483,1.026,0.457,2.7
,,19,1.502,1.026,0.476,1.9
,,20,1.525,1.026,0.499,2.3
,,21,1.551,1.026,0.525,2.6
,,22,1.571,1.026,0.545,2.0
,,23,1.599,1.026,0.573,2.8
,,24,1.617,1.026,0.591,1.8
,,25,1.643,1.026,0.617,2.6
,,26,1.665,1.026,0.639,2.2
,0.195,27,1.688,1.026,0.662,2.3
,,28,1.711,1.026,0.685,2.3
,,29,1.730,1.026,0.704,1.9
,,30,1.753,1.026,0.727,2.3
,,31,1.771,1.026,0.745,1.8
,,32,1.792,1.026,0.766,2.1
,,33,1.807,1.026,0.781,1.5
,,34,1.828,1.026,0.802,2.1
,,35,1.844,1.026,0.818,1.6
,,36,1.861,1.026,0.835,1.7
,,37,1.881,1.026,0.855,2.0
,0.173,38,1.881,1.004,0.877,2.2
,,39,1.910,1.004,0.906,2.9
,,40,1.935,1.004,0.931,2.4
,,41,1.956,1.004,0.952,2.2
,,42,1.980,1.004,0.976,2.3
,,43,2.023,1.004,1.019,4.3
,,44,2.053,1.004,1.049,3.0
,,45,2.106,1.004,1.102,5.3
,,46,2.123,1.004,1.119,1.7
